StartX	StartY	EndX	EndY	DiffX	DiffY	Distance	MaxVelocityX	MaxVelocityY	AvgVelocityX	AvgVelocityY	STDVelocityX	STDVelocityY	SampleTime	Accel_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	HPF_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	LPF_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	Gravity_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	Magnet_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM	Gyro_KurtX	KurtY	KurtZ	KurtM	MeanX	MeanY	MeanZ	MeanM	SkewX	SkewY	SkewZ	SkewM	STDX	STDY	STDZ	STDM	VarX	VarY	VarZ	VarM
502.04	247.76	700.09	273.48	198.04	25.721	199.71	3806.9	2531	299.94	257.98	935.32	1134.9	1238	1.6771	-1.2	-0.10271	-0.59758	-1.8052	2.4181	9.7181	10.177	1.1641	0	0.43753	0.09866	0.19666	0.012364	0.31252	0.32407	0.038673	0.000153	0.097669	0.10502	1.504	-3.3076	-0.051038	-0.3506	-1.0034	-0.17946	0.29585	1.0855	1.1985	0.032324	0.48113	-1.0173	0.24455	0.015178	0.30888	0.29405	0.059806	0.00023	0.095404	0.086463	0.088463	-3.9346	-0.26915	-0.39365	-1.0025	2.5617	9.4814	9.8724	1.063	0.18773	0.27162	0.2355	0.0073505	0.0017643	0.065478	0.062276	0.000054	0.00000311	0.0042874	0.0038783	0.2237	-0.26213	-0.80268	1.3964	-0.80241	2.5977	9.4222	9.8067	-1.1055	0.02801	-0.49949	1.3223	0.041434	0.005936	0.0036368	0.000000786	0.0017168	0.0000352	0.0000132	6.18E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.29	-28.59	-37.11	47.042	0	0	0	0	0.042426	0.042426	0.21213	0.18926	0.0018	0.0018	0.045	0.035819
522.1	239.62	673.54	264.22	151.44	24.6	153.42	2299.3	2616.9	255.66	149.33	666.43	1033.8	1306	2.586	-0.18275	-1.0261	-0.86061	-1.9126	2.7636	10.058	10.61	1.5458	0.66129	-0.37264	-0.3933	0.28138	0.058216	0.52523	0.48793	0.079172	0.0033891	0.27587	0.23808	0.58914	6.9728	6.5346	6.8155	-0.93071	0.20122	2.1132	2.6021	-0.6825	2.639	2.5286	2.5989	0.23737	1.1747	3.6039	3.5767	0.056346	1.3798	12.988	12.793	6.92	6.9937	6.9698	6.9759	-1.1681	2.6026	8.3678	8.8409	2.6263	-2.6442	-2.6383	-2.6398	0.39668	0.89524	2.7922	2.9582	0.15736	0.80145	7.7966	8.7511	0.13619	-0.80343	-1.2176	1.6927	-1.1536	2.9862	9.2693	9.8067	-1.1101	0.66881	-0.013665	-0.00000033	0.036556	0.016406	0.0054095	0.000000745	0.0013363	0.000269	0.0000293	5.55E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.2	1.9794	0.92798	2.6101	-5.01	-31.335	-36.165	48.114	0	-1.1985	-0.56001	-1.4699	0.07746	0.20421	0.15	0.060225	0.006	0.0417	0.0225	0.0036271
539.92	213.72	706.75	276.08	166.84	62.355	178.11	2705.3	1870.7	245.21	124.79	674.26	872.56	1320	-0.7549	0.77575	-0.79521	-0.92423	-1.9808	2.5969	10.448	10.952	0.60298	0.57367	-0.92353	-0.77455	0.41193	0.05225	0.45596	0.48907	0.16969	0.0027301	0.2079	0.23919	-0.37081	5.9667	5.718	5.6409	-0.97668	0.24182	2.6875	3.0449	0.76963	2.4408	2.3725	2.3509	0.35671	1.168	3.8521	3.8842	0.12724	1.3642	14.839	15.087	5.9184	5.9945	5.9801	5.9816	-1.1995	2.4035	8.2983	8.7225	2.4281	-2.448	-2.4443	-2.4447	0.45619	0.92046	3.0383	3.2063	0.20811	0.84725	9.2314	10.28	-0.27989	-0.87567	-0.071617	-0.58349	-1.2119	2.8241	9.3126	9.8067	-1.0215	-0.11302	-0.946	-0.54544	0.043644	0.009377	0.006374	0.000000948	0.0019048	0.0000879	0.0000406	8.98E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.2	2.2271	-1.1998	-0.84249	-4.89	-29.835	-36.87	47.681	0	-1.1293	0	-0.71858	0.07746	0.075498	0.077459	0.058746	0.006	0.0056999	0.006	0.0034511
541.92	243.69	663.86	269.71	121.94	26.016	124.69	1838.4	1804.1	194.13	120.54	634.8	857.41	1318	0.47391	-0.19148	-2.0551	-2.026	-1.917	2.5315	10.263	10.748	1.0446	0.56053	-0.42229	-0.48782	0.36444	0.10165	0.59065	0.60186	0.13282	0.010333	0.34887	0.36224	-0.18407	5.9463	5.6667	5.7215	-1.0543	0.21956	2.4725	2.9211	0.61504	2.4356	2.3571	2.3731	0.21458	1.2123	3.4668	3.4674	0.046046	1.4698	12.019	12.023	5.4483	5.9545	5.9794	5.9843	-1.0735	2.3558	8.2851	8.6805	2.3122	-2.4373	-2.4442	-2.4454	0.40358	0.89142	3.1305	3.2789	0.16288	0.79463	9.8001	10.751	0.17521	-0.43684	-0.52144	-1.2502	-1.0276	2.7927	9.3439	9.8067	1.2161	1.0106	-0.90276	-0.04921	0.049813	0.060907	0.013375	0.00000075	0.0024813	0.0037096	0.000179	5.63E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.16	-30.12	-36.72	47.772	0	0	0	0	0	0	0	0	0	0	0	0
539.33	224.52	688.05	288.23	148.72	63.712	161.8	1887.5	2186.2	219.11	42.333	637.4	873.37	1361	1.2204	2.2827	-0.27287	-0.63472	-2.0399	2.5259	10.487	10.983	1.3468	1.5814	-0.94035	-0.88579	0.32758	0.18773	0.42377	0.41608	0.10731	0.035242	0.17958	0.17312	2.3233	3.982	3.8516	3.8693	-1.3777	0.45538	3.4603	4.062	1.238	1.9948	1.9516	1.9574	0.2108	1.5614	4.6516	4.5708	0.044436	2.4379	21.638	20.892	3.9756	3.9961	3.9886	3.9917	-0.93769	2.1616	7.7184	8.0704	1.9925	-1.9988	-1.9967	-1.9976	0.41469	1.0683	3.7586	3.9285	0.17197	1.1413	14.127	15.433	-1.0162	1.2396	-1.2746	-0.44223	-0.88971	2.7593	9.3682	9.8067	-0.72122	1.3201	-0.62011	0.13842	0.044442	0.0045592	0.0052343	0.000000901	0.0019751	0.0000208	0.0000274	8.11E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.4	-30.18	-36.24	47.469	0	0	0	0	0	0	0	0	0	0	0	0
555.14	223.22	692.12	266.7	136.98	43.478	143.72	1925.7	2240.4	148.74	31.663	635.07	975.62	1364	-1.2389	0.095831	0.63311	1.1422	-1.9403	2.3329	10.577	11.006	-0.16839	-0.82087	-1.2079	-1.3545	0.21141	0.042073	0.55725	0.5385	0.044693	0.0017701	0.31053	0.28999	-1.333	-0.49646	0.65029	1.1273	-0.88902	-0.41135	1.2207	1.6037	-0.16821	-0.73059	-1.2123	-1.3215	0.21455	0.026427	0.54705	0.43946	0.046033	0.000698	0.29926	0.19312	-1.1179	-1.2589	0.5703	1.0604	-1.229	2.662	9.6001	10.038	-0.11394	0.59326	-1.1921	-1.3311	0.041047	0.031535	0.11962	0.10634	0.0016848	0.000994	0.014308	0.011308	-1.4424	-0.70378	-0.92952	-0.98197	-1.0503	2.7505	9.3542	9.8067	-0.16129	0.90537	-0.82197	0.66076	0.012151	0.035167	0.011584	0.000000835	0.000148	0.0012367	0.000134	6.96E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.62	-29.96	-37.16	48.063	0.93522	1.7321	-0.42328	-0.37996	0.091651	0.069283	0.21071	0.13592	0.0084	0.0048001	0.0444	0.018474
545.11	240.21	710.41	272.07	165.3	31.856	168.34	2137.8	1819.3	218.75	157.46	609.86	787.53	1343	2.241	-1.9889	-0.94677	-0.86523	-1.7197	2.4038	10.396	10.811	1.3948	0.23818	-0.44727	-0.46839	0.20277	0.078584	0.52938	0.51501	0.041115	0.0061755	0.28025	0.26523	1.4682	6.9156	6.5381	6.699	-0.95923	0.22088	2.3147	2.7174	-1.0158	2.6251	2.5283	2.57	0.19383	1.0109	3.6122	3.588	0.03757	1.022	13.048	12.874	6.9253	6.9809	6.9667	6.9736	-0.95234	2.2271	8.5445	8.8814	2.6272	-2.641	-2.6375	-2.6392	0.3039	0.76109	2.851	2.9657	0.092353	0.57926	8.1281	8.7956	-0.95282	-0.3867	-0.032826	-1.3322	-0.89383	2.5529	9.4262	9.8067	-0.58788	1.0831	-1.2002	-0.33654	0.020518	0.02654	0.0087266	0.000000778	0.000421	0.000704	0.0000762	6.05E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.42	-29.12	-37.08	47.458	0.93522	1.2934	-0.0000477	-0.67108	0.1833	0.1249	0.12	0.18954	0.0336	0.0156	0.0144	0.035926
546.17	239.5	690.12	276.43	143.95	36.929	148.61	1582.5	1954.8	193.62	130.32	592.49	855.76	1346	2.1995	3.9013	0.1566	0.39099	-1.6582	2.5023	10.389	10.817	1.459	1.9144	-0.96306	-1.0133	0.2151	0.08102	0.29134	0.27348	0.046268	0.0065642	0.08488	0.074793	1.6815	6.9716	6.859	6.8825	-0.79117	0.27251	2.3315	2.6068	-1.1393	2.6387	2.61	2.6158	0.2335	1.0587	3.5949	3.6509	0.054522	1.1209	12.923	13.329	6.7674	6.9991	6.9899	6.9926	-1.0252	2.2843	8.5243	8.8845	2.588	-2.6455	-2.6433	-2.6439	0.34493	0.77164	2.8372	2.96	0.11898	0.59543	8.0496	8.7618	-0.073247	-0.10833	-0.21318	-0.59528	-1.0278	2.5987	9.3998	9.8067	-1.148	0.47063	-1.0012	-0.65708	0.06396	0.0096197	0.0056837	0.000000926	0.0040909	0.0000925	0.0000323	8.57E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.22	-29.9	-36.74	47.776	-1.7321	-0.93524	-0.93529	-1.6583	0.069282	0.091652	0.091652	0.088039	0.0048	0.0084	0.0084001	0.0077509
552.84	223.64	725.22	262.63	172.38	38.994	176.74	1829	1988.1	206.42	129.43	639.71	919.62	1314	-1.2953	-0.42041	-1.3338	-1.1238	-1.8169	2.4284	10.287	10.727	-0.1719	-0.32909	-0.72222	-0.80254	0.13731	0.070993	0.59044	0.55093	0.018854	0.00504	0.34862	0.30352	-1.1961	-0.33513	-1.3709	-1.4594	-0.72938	-0.10896	0.8768	1.2362	-0.1161	-0.24761	-0.71149	-0.62128	0.15195	0.070091	0.58954	0.35222	0.023089	0.0049127	0.34756	0.12406	-1.8589	-1.147	-1.1829	-1.1724	-1.2334	2.5156	9.5854	9.9866	-0.31907	0.015373	-0.76486	-0.78873	0.01661	0.016874	0.11885	0.11059	0.000276	0.000285	0.014126	0.01223	-0.68404	1.555	-0.52	-1.0458	-1.0859	2.5401	9.4095	9.8067	-0.37343	1.4423	-0.51699	-0.43478	0.014147	0.013565	0.0044566	0.000000843	0.0002	0.000184	0.0000199	7.1E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.17751	-1.6873	-2.1672	-1.1128	-5.724	-29.568	-37.068	47.761	-0.4048	-0.51842	0.18984	0.49061	0.06841	0.09859	0.23004	0.12863	0.00468	0.00972	0.05292	0.016546
567.41	236.61	730.35	282.69	162.94	46.073	169.33	1914.2	2576.4	242.01	156.35	718.61	936.41	1366	3.5917	2.3632	-0.66001	-0.69637	-1.8081	2.4421	10.236	10.683	1.848	1.2786	-0.82695	-0.82453	0.41587	0.099985	0.27251	0.30729	0.17295	0.009997	0.074262	0.094429	1.6098	4.8925	4.973	4.9651	-0.79463	0.60155	2.6771	2.9672	-1.0496	2.2048	2.2284	2.2261	0.18835	1.123	4.0044	4.0652	0.035478	1.2611	16.035	16.526	4.8813	4.9794	4.9976	4.9981	-1.1724	1.9608	8.094	8.4107	2.2032	-2.2302	-2.2354	-2.2355	0.53491	0.80533	3.4253	3.5578	0.28613	0.64856	11.733	12.658	0.61315	-0.26566	-0.69475	0.82715	-1.2567	2.3168	9.4456	9.8067	0.98956	0.98014	-0.73531	-0.5162	0.039425	0.053596	0.0088626	0.000000936	0.0015544	0.0028726	0.0000785	8.76E-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.2893	-1.6995	1.7855	-1.2585	-5.745	-29.415	-37.305	47.853	-0.85456	-0.48156	0.71336	-0.57867	0.057446	0.13304	0.12369	0.060724	0.0033	0.0177	0.0153	0.0036874
